id,nama_provinsi,hewan_ternak,produksi_daging,
1,ACEH,SAPI,15644.5,
2,SUMATERA UTARA,SAPI,15902.8,
3,SUMATERA BARAT,SAPI,31194.4,
4,RIAU,SAPI,10974.8,
5,JAMBI,SAPI,4920.9,
6,SUMATERA SELATAN,SAPI,12171.5,
7,BENGKULU,SAPI,3355.5,
8,LAMPUNG,SAPI,22895.2,
9,KEP. BANGKA BELITUNG,SAPI,3485.7,
10,KEP. RIAU,SAPI,1820.9,
11,DKI JAKARTA,SAPI,17664.8,
12,JAWA BARAT,SAPI,76287.2,
13,JAWA TENGAH,SAPI,65995.4,
14,DI YOGYAKARTA,SAPI,7998.2,
15,JAWA TIMUR,SAPI,102711.7,
16,BANTEN,SAPI,20754.6,
17,BALI,SAPI,4076,
18,NUSA TENGGARA BARAT,SAPI,10083.2,
19,NUSA TENGGARA TIMUR,SAPI,9395.6,
20,KALIMANTAN BARAT,SAPI,4726.1,
21,KALIMANTAN TENGAH,SAPI,4026.7,
22,KALIMANTAN SELATAN,SAPI,7892.4,
23,KALIMANTAN TIMUR,SAPI,7875.6,
24,KALIMANTAN UTARA,SAPI,891.6,
25,SULAWESI UTARA,SAPI,2032.2,
26,SULAWESI TENGAH,SAPI,5472.3,
27,SULAWESI SELATAN,SAPI,16181.3,
28,SULAWESI TENGGARA,SAPI,5213.8,
29,GORONTALO,SAPI,3137.5,
30,SULAWESI BARAT,SAPI,1358.5,
31,MALUKU,SAPI,2555.7,
32,MALUKU UTARA,SAPI,950.1,
33,PAPUA BARAT,SAPI,379.6,
34,PAPUA BARAT DAYA,SAPI,682.6,
35,PAPUA,SAPI,1150.9,
36,PAPUA SELATAN,SAPI,721.6,
37,PAPUA TENGAH,SAPI,710.8,
38,PAPUA PEGUNUNGAN,SAPI,214.4,
39,ACEH,BABI,61.2,
40,SUMATERA UTARA,BABI,11637.9,
41,SUMATERA BARAT,BABI,695.3,
42,RIAU,BABI,721,
43,JAMBI,BABI,162.3,
44,SUMATERA SELATAN,BABI,112.6,
45,BENGKULU,BABI,0.7,
46,LAMPUNG,BABI,999.5,
47,KEP. BANGKA BELITUNG,BABI,188.2,
48,KEP. RIAU,BABI,4125.1,
49,DKI JAKARTA,BABI,4739.9,
50,JAWA BARAT,BABI,577,
51,JAWA TENGAH,BABI,1194.7,
52,DI YOGYAKARTA,BABI,369.4,
53,JAWA TIMUR,BABI,3034.2,
54,BANTEN,BABI,3641.1,
55,BALI,BABI,51391.2,
56,NUSA TENGGARA BARAT,BABI,99.2,
57,NUSA TENGGARA TIMUR,BABI,13829.1,
58,KALIMANTAN BARAT,BABI,4898.8,
59,KALIMANTAN TENGAH,BABI,918.7,
60,KALIMANTAN SELATAN,BABI,42.2,
61,KALIMANTAN TIMUR,BABI,2110.3,
62,KALIMANTAN UTARA,BABI,505.6,
63,SULAWESI UTARA,BABI,27420.3,
64,SULAWESI TENGAH,BABI,2980.3,
65,SULAWESI SELATAN,BABI,4617.3,
66,SULAWESI TENGGARA,BABI,651.5,
67,GORONTALO,BABI,14.9,
68,SULAWESI BARAT,BABI,1453.6,
69,MALUKU,BABI,662.4,
70,MALUKU UTARA,BABI,646.1,
71,PAPUA BARAT,BABI,401.5,
72,PAPUA BARAT DAYA,BABI,572.2,
73,PAPUA,BABI,1286.9,
74,PAPUA SELATAN,BABI,154.4,
75,PAPUA TENGAH,BABI,3521.4,
76,PAPUA PEGUNUNGAN,BABI,3913.8,
77,ACEH,KAMBING,2120.5,
78,SUMATERA UTARA,KAMBING,861.8,
79,SUMATERA BARAT,KAMBING,495.4,
80,RIAU,KAMBING,1257.6,
81,JAMBI,KAMBING,571.1,
82,SUMATERA SELATAN,KAMBING,1298.1,
83,BENGKULU,KAMBING,123.5,
84,LAMPUNG,KAMBING,4635.5,
85,KEP. BANGKA BELITUNG,KAMBING,170.6,
86,KEP. RIAU,KAMBING,273.3,
87,DKI JAKARTA,KAMBING,791.5,
88,JAWA BARAT,KAMBING,6287.8,
89,JAWA TENGAH,KAMBING,11331.3,
90,DI YOGYAKARTA,KAMBING,1337.6,
91,JAWA TIMUR,KAMBING,19738.9,
92,BANTEN,KAMBING,2349.5,
93,BALI,KAMBING,584.1,
94,NUSA TENGGARA BARAT,KAMBING,360.2,
95,NUSA TENGGARA TIMUR,KAMBING,1014.6,
96,KALIMANTAN BARAT,KAMBING,341.6,
97,KALIMANTAN TENGAH,KAMBING,231.7,
98,KALIMANTAN SELATAN,KAMBING,622.1,
99,KALIMANTAN TIMUR,KAMBING,812.1,
100,KALIMANTAN UTARA,KAMBING,144.7,
101,SULAWESI UTARA,KAMBING,11.9,
102,SULAWESI TENGAH,KAMBING,1389.1,
103,SULAWESI SELATAN,KAMBING,809.5,
104,SULAWESI TENGGARA,KAMBING,234,
105,GORONTALO,KAMBING,283,
106,SULAWESI BARAT,KAMBING,155,
107,MALUKU,KAMBING,357,
108,MALUKU UTARA,KAMBING,82.4,
109,PAPUA BARAT,KAMBING,7.6,
110,PAPUA BARAT DAYA,KAMBING,1,
111,PAPUA,KAMBING,93.4,
112,PAPUA SELATAN,KAMBING,39,
113,PAPUA TENGAH,KAMBING,64,
114,PAPUA PEGUNUNGAN,KAMBING,33.2,
115,ACEH,ITIK,1899.2,
116,SUMATERA UTARA,ITIK,2225.6,
117,SUMATERA BARAT,ITIK,813.3,
118,RIAU,ITIK,205.2,
119,JAMBI,ITIK,643.3,
120,SUMATERA SELATAN,ITIK,2535.9,
121,BENGKULU,ITIK,56.4,
122,LAMPUNG,ITIK,656.8,
123,KEP. BANGKA BELITUNG,ITIK,69,
124,KEP. RIAU,ITIK,19.7,
125,DKI JAKARTA,ITIK,896.3,
126,JAWA BARAT,ITIK,8536.7,
127,JAWA TENGAH,ITIK,5148.2,
128,DI YOGYAKARTA,ITIK,393.2,
129,JAWA TIMUR,ITIK,15557.4,
130,BANTEN,ITIK,3149.3,
131,BALI,ITIK,420,
132,NUSA TENGGARA BARAT,ITIK,686.2,
133,NUSA TENGGARA TIMUR,ITIK,207.7,
134,KALIMANTAN BARAT,ITIK,323.6,
135,KALIMANTAN TENGAH,ITIK,286.9,
136,KALIMANTAN SELATAN,ITIK,1473.8,
137,KALIMANTAN TIMUR,ITIK,157.4,
138,KALIMANTAN UTARA,ITIK,22.6,
139,SULAWESI UTARA,ITIK,135.4,
140,SULAWESI TENGAH,ITIK,901.3,
141,SULAWESI SELATAN,ITIK,763.9,
142,SULAWESI TENGGARA,ITIK,449.2,
143,GORONTALO,ITIK,54.2,
144,SULAWESI BARAT,ITIK,146.5,
145,MALUKU,ITIK,163.1,
146,MALUKU UTARA,ITIK,82.6,
147,PAPUA BARAT,ITIK,54.8,
148,PAPUA BARAT DAYA,ITIK,5.1,
149,PAPUA,ITIK,19.5,
150,PAPUA SELATAN,ITIK,31.1,
151,PAPUA TENGAH,ITIK,62.8,
152,PAPUA PEGUNUNGAN,ITIK,14.3,
153,ACEH,AYAM BURAS,8693708.79,
154,SUMATERA UTARA,AYAM BURAS,14639838.29,
155,SUMATERA BARAT,AYAM BURAS,5598209.48,
156,RIAU,AYAM BURAS,2400401.08,
157,JAMBI,AYAM BURAS,4613006.91,
158,SUMATERA SELATAN,AYAM BURAS,8251298.78,
159,BENGKULU,AYAM BURAS,400589.42,
160,LAMPUNG,AYAM BURAS,15045284.87,
161,KEP. BANGKA BELITUNG,AYAM BURAS,445179.32,
162,KEP. RIAU,AYAM BURAS,1390741.66,
163,DKI JAKARTA,AYAM BURAS,2244850.3,
164,JAWA BARAT,AYAM BURAS,30213071.81,
165,JAWA TENGAH,AYAM BURAS,24213531,
166,DI YOGYAKARTA,AYAM BURAS,4943170.54,
167,JAWA TIMUR,AYAM BURAS,64961076.03,
168,BANTEN,AYAM BURAS,3918263,
169,BALI,AYAM BURAS,1399199.8,
170,NUSA TENGGARA BARAT,AYAM BURAS,12597688.86,
171,NUSA TENGGARA TIMUR,AYAM BURAS,11355573.46,
172,KALIMANTAN BARAT,AYAM BURAS,5647008.93,
173,KALIMANTAN TENGAH,AYAM BURAS,2543779.94,
174,KALIMANTAN SELATAN,AYAM BURAS,1571416.77,
175,KALIMANTAN TIMUR,AYAM BURAS,5402209.26,
176,KALIMANTAN UTARA,AYAM BURAS,1289992.55,
177,SULAWESI UTARA,AYAM BURAS,2965169.9,
178,SULAWESI TENGAH,AYAM BURAS,9242192.75,
179,SULAWESI SELATAN,AYAM BURAS,5828818,
180,SULAWESI TENGGARA,AYAM BURAS,13323488.64,
181,GORONTALO,AYAM BURAS,2606726.43,
182,SULAWESI BARAT,AYAM BURAS,5078089.94,
183,MALUKU,AYAM BURAS,367082.61,
184,MALUKU UTARA,AYAM BURAS,920868.41,
185,PAPUA BARAT,AYAM BURAS,828206.61,
186,PAPUA BARAT DAYA,AYAM BURAS,893833.71,
187,PAPUA,AYAM BURAS,660701.76,
188,PAPUA SELATAN,AYAM BURAS,3432840.12,
189,PAPUA TENGAH,AYAM BURAS,293818.55,
