"ID","GSBC01","GSBC02","GSBC03","GSBC04","GSBC05","GSBC06","GSBC07","GSBC08","GSBC09","GSBC10","GSBC11","GSBC12","GSBC13","GSBC14","GSBC15","GSBC16","GSBC17","GSBC18","GSBC19","GSBC20","GSBC21","GSBC22","GSBC23","GSBC24","GSBC25","Harga"
"CAD2400000",0,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,2,1065
"CAD2400001",0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,1,2,1,4,1,0,1,15,745
"CAD2400002",0,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,3,1,0,1,76,1105
"CAD2400003",0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,12,705
"CAD2400004",0,5,0,2,0,0,1,1,0,0,0,0,0,0,1,0,3,1,2,1,4,1,0,1,16,585
"CAD2400005",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,15,845
"CAD2400006",0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0,0,1,4,0,0,1,11,245
"CAD2400007",0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,4,2,1,4,0,0,0,78,2085
"CAD2400008",0,2,0,1,0,0,1,0,0,0,1,1,0,1,0,0,3,1,2,1,4,3,0,0,5,305
"CAD2400009",0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,2,1,4,0,1,1,8,1675
"CAD2400010",0,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,3,2145
"CAD2400011",0,5,1,5,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,3,1,0,0,16,2505
"CAD2400012",0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,0,1,0,7,765
"CAD2400013",0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,0,1,2,0,1,0,5,355
"CAD2400014",1,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,16,1335
"CAD2400015",1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,4,3,1,1,76,785
"CAD2400016",0,2,0,1,0,1,1,0,0,1,0,1,0,1,0,0,3,3,0,1,2,3,1,1,6,335
"CAD2400017",1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3,4,2,1,2,3,1,1,9,1385
"CAD2400018",0,3,0,4,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,15,2545
"CAD2400019",0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,1,1,0,0,73,75
"CAD2400020",0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,1,4,2,1,1,77,1185
"CAD2400021",1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,2,1,4,1,0,0,6,195
"CAD2400022",0,2,0,1,0,0,1,0,0,1,1,0,1,1,0,0,3,4,2,1,4,3,1,1,8,605
"CAD2400023",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,2,1,4,1,0,0,73,195
"CAD2400024",0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,1,2,1,4,1,0,1,79,525
